stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
1161,Unknown,4.938997,Low Vulnerability,0.400135,96.000000,Unknown,None
1163,Unknown,6.190691,Moderate Vulnerability,0.305430,99.000000,Unknown,None
1165,Unknown,6.190691,Moderate Vulnerability,0.305430,99.000000,Unknown,None
1166,Unknown,6.190691,Moderate Vulnerability,0.305430,99.000000,Unknown,None
1167,Unknown,6.204121,Low Vulnerability,0.430657,101.000000,Unknown,None
1168,Unknown,6.204121,Low Vulnerability,0.430657,101.000000,Unknown,None
1169,Unknown,5.689995,Low Vulnerability,0.373076,100.000000,Unknown,None
1170,Unknown,5.689995,Low Vulnerability,0.373076,100.000000,Unknown,None
1171,Unknown,7.311105,Moderate Vulnerability,0.248815,101.000000,Unknown,None
1178,Unknown,7.581297,Elevated Vulnerability,0.403227,99.000000,Unknown,None
1179,Unknown,7.581297,Elevated Vulnerability,0.403227,99.000000,Unknown,None
1180,Unknown,7.581297,Elevated Vulnerability,0.403227,99.000000,Unknown,None
1181,Unknown,7.581297,Elevated Vulnerability,0.403227,99.000000,Unknown,None
1185,Unknown,7.252794,Moderate Vulnerability,0.273851,99.000000,Unknown,None
1186,Unknown,7.884733,Elevated Vulnerability,0.359027,99.000000,Unknown,None
1188,Unknown,7.884733,Elevated Vulnerability,0.359027,99.000000,Unknown,None
1190,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1199,Unknown,7.935985,Elevated Vulnerability,0.420773,97.000000,Unknown,None
1200,Unknown,7.935985,Elevated Vulnerability,0.420773,97.000000,Unknown,None
1202,Unknown,7.935985,Elevated Vulnerability,0.420773,97.000000,Unknown,None
1203,Unknown,7.935985,Elevated Vulnerability,0.420773,97.000000,Unknown,None
1204,Unknown,7.935985,Elevated Vulnerability,0.420773,97.000000,Unknown,None
1207,Unknown,7.935985,Elevated Vulnerability,0.420773,97.000000,Unknown,None
1209,Unknown,5.866855,Low Vulnerability,0.458680,98.000000,Unknown,None
1212,Unknown,8.663226,Elevated Vulnerability,0.289104,100.000000,Unknown,None
1214,Unknown,4.870942,Low Vulnerability,0.423570,94.000000,Unknown,None
1215,Unknown,5.367493,Low Vulnerability,0.544163,95.000000,Unknown,None
1217,Unknown,5.097880,Low Vulnerability,0.539542,97.000000,Unknown,None
1219,Unknown,5.242293,Low Vulnerability,0.392160,99.000000,Unknown,None
1220,Unknown,4.404019,Low Vulnerability,0.515109,96.000000,Unknown,None
1225,Unknown,6.333444,Moderate Vulnerability,0.331991,99.000000,Unknown,None
1227,Unknown,7.990267,Elevated Vulnerability,0.305496,103.000000,Unknown,None
1228,Unknown,7.990267,Elevated Vulnerability,0.305496,103.000000,Unknown,None
1233,Unknown,7.072981,Moderate Vulnerability,0.254991,102.000000,Unknown,None
1234,Unknown,Unknown,Least Vulnerable,Unknown,Unknown,Unknown,None
1238,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1240,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1241,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
